year,country_code,co2_emissions_kt,co2_emissions_per_capita_tons,renewable_energy_pct,forest_area_pct,green_transition_score,co2_intensity_per_million_gdp
2014,ETH,12330.0,0.1256954229250346,91.2491989135742,15.5031099226107,91.2491989133719,0.2217138279053637
2015,ETH,12880.0,0.1277328520555166,91.5577011108398,15.437809393877,91.55770111065722,0.1994137268053202
2016,ETH,14950.0,0.1443001986198125,90.488899230957,15.372742326657,90.48889923077492,0.2012204634024554
2017,ETH,15460.0,0.1453008529348037,90.2696990966797,15.3084266216602,90.26969909650904,0.1890650637881346
2018,ETH,16280.0,0.1490509310144133,89.9231033325195,15.2435084167464,89.92310333234578,0.193190054547
2019,ETH,,,,15.1788666255574,,
2020,ETH,,,,15.1142248343685,,
2000,GAB,4670.0,3.8018201519262687,72.7827987670898,91.9781115380137,72.78279876642077,0.9192038578792748
2001,GAB,4580.0,3.6406763708974816,72.424201965332,91.9584778980867,72.42420196467167,0.9117575256290524
2002,GAB,4330.0,3.3609923077520163,79.8168029785156,91.9388442581597,79.81680297786782,0.8115527160520181
2003,GAB,4390.0,3.3258936350426453,83.6322021484375,91.9192106182326,83.6322021478737,0.674150022932889
2004,GAB,4430.0,3.272299651053193,85.7774963378906,91.8995769783056,85.77749633740157,0.5701254657681742
2005,GAB,4630.0,3.3296177771385422,85.2472991943359,91.8799433383785,85.24729919392402,0.4831581646133685
2006,GAB,4040.0,2.824890360690952,86.1607971191406,91.8603096984515,86.16079711880353,0.391184831825322
2007,GAB,4050.0,2.7503030426500694,87.3537979125977,91.8406760585245,87.35379791231365,0.3251599089771342
2008,GAB,4130.0,2.7197212055279483,87.2927017211914,91.8210424185974,87.29270172095987,0.265230699937305
2009,GAB,4200.0,2.676992208040537,87.9776992797852,91.8014087786704,87.97769927948018,0.3467148862566623
2010,GAB,4770.0,2.9369280840515573,85.8397979736328,91.7817751387434,85.8397979733479,0.3318816833956619
2011,GAB,5640.0,3.347918146962922,79.6920013427734,91.7356618931191,79.69200134252658,0.3097146829281102
2012,GAB,5830.0,3.33204357147062,75.467903137207,91.6895486474949,75.46790313695075,0.339536518094588
2013,GAB,5700.0,3.13691822549489,82.1704025268555,91.6434354018706,82.17040252658931,0.3239419409832792
2014,GAB,5500.0,2.919628984165525,81.2805023193359,91.5973221562464,81.2805023190903,0.3021319307652446
2015,GAB,5480.0,2.813589431583055,81.9297027587891,91.5512089106221,81.92970275847696,0.381002500221227
2016,GAB,5710.0,2.843792613310941,81.0056991577148,91.5051034268638,81.00569915738498,0.4071623313803495
2017,GAB,4700.0,2.276236286887136,90.1154022216797,91.4589979431055,90.115402221396,0.3148131910058507
2018,GAB,4610.0,2.175272203937668,89.8871002197266,91.4128924593472,89.88710021948093,0.2733094883400177
2019,GAB,,,,91.3667869755889,,
2020,GAB,,,,91.3206814918306,,
2000,GHA,5740.0,0.2977356014492565,71.6194000244141,38.8881515337963,71.61940002358911,1.1519108737685304
2001,GHA,6210.0,0.3143201051135022,69.3175964355469,38.490120418388,69.31759643473697,1.1684111403257618
2002,GHA,7420.0,0.3664853403888181,65.6783981323242,38.0920893029797,65.6783981315339,1.2033089108100363
2003,GHA,7130.0,0.3436093575092957,64.4709014892578,37.6940581875714,64.47090148865553,0.9341745556450716
2004,GHA,6620.0,0.3112024222266598,62.3763999938965,37.2960270721631,62.37639999343156,0.7453806214231915
2005,GHA,7020.0,0.3218021212168997,61.4282989501953,36.8979959567549,61.42829894979396,0.6533468776732227
2006,GHA,8430.0,0.3766914754272264,58.5610008239746,36.4999648413466,58.561000823733096,0.4124085964798343
2007,GHA,9050.0,0.3940960321017999,54.5313987731934,36.1019337259383,54.53139877299464,0.3645100901173704
2008,GHA,8560.0,0.3632685889120241,57.3446006774902,35.70390261053,57.34460067731904,0.298479339563753
2009,GHA,9950.0,0.4116512955245477,51.9034004211426,35.3058714951217,51.90340042094434,0.3819855142382042
2010,GHA,11150.0,0.4499666540406965,51.9105987548828,34.9078403797135,51.91059875470303,0.3463026222819926
2011,GHA,12210.0,0.4809413120433494,50.1108016967773,34.8529137734025,50.11080169662176,0.310392309668113
2012,GHA,14220.0,0.5469976789911423,46.5405006408691,34.7979871670915,46.540500640708736,0.3445522423828698
2013,GHA,15010.0,0.5641236665813402,46.2089004516602,34.7430605607805,46.2089004515498,0.2389250681665731
2014,GHA,14370.0,0.5278337731335915,47.698299407959,34.6881339544695,47.69829940783388,0.2623083791647978
2015,GHA,15130.0,0.5432830519422764,44.0498008728027,34.6332073481586,44.0498008726678,0.3062345853996809
2016,GHA,14110.0,0.4954015257454133,46.4782981872559,34.8169113122967,46.47829818713914,0.2512232985627292
2017,GHA,14780.0,0.5075294291523255,44.8622016906738,35.0006152764349,44.86220169056404,0.2446761300843053
2018,GHA,16110.0,0.5412013824117546,41.9766006469727,35.0323459611497,41.97660064687221,0.23937848721899
2019,GHA,,,,35.0640766458645,,
2020,GHA,,,,35.095851278896,,
2000,GIN,1490.0,0.1808091147209563,85.5158996582031,28.1987628194693,85.51589965777771,0.4974358449764544
2001,GIN,1570.0,0.1865254490808097,84.8370971679688,28.0522545987303,84.83709716749804,0.5548809105873562
2002,GIN,1630.0,0.1898422294605557,84.2738037109375,27.9057463779912,84.27380371047187,0.552505167941513
2003,GIN,1700.0,0.1942169725755352,83.4649963378906,27.7592381572522,83.4649963374789,0.493262369992472
2004,GIN,1770.0,0.1983031301981048,83.1863021850586,27.6127299365131,83.18630218465358,0.4868712375208259
2005,GIN,1840.0,0.2019850520084065,81.5637969970703,27.4662217157741,81.56379699655933,0.6264743069997216
2006,GIN,1900.0,0.2041381817798937,81.0623016357422,27.319713495035,81.06230163537721,0.4502349138016362
2007,GIN,1980.0,0.2080234213359957,80.3647003173828,27.1732052742959,80.36470031712949,0.3151903779158251
2008,GIN,2010.0,0.2063910158914921,80.1485977172852,27.0266970535569,80.14859771705387,0.2886197991253142
2009,GIN,2120.0,0.2127559217901202,79.2505035400391,26.8801888328178,79.25050353978897,0.3156215751312734
2010,GIN,2500.0,0.2452863806797533,75.709098815918,26.7336806120788,75.70909881564182,0.3647788319636707
2011,GIN,2620.0,0.2514284639477013,74.7487030029297,26.5871723913397,74.74870300264105,0.3861381035175407
2012,GIN,2490.0,0.2337582162727261,76.3563995361328,26.4406641706007,76.35639953588387,0.3259996395748329
2013,GIN,2180.0,0.2001318115848961,78.5328979492188,26.2941559498616,78.53289794901441,0.26024835820154
